round_id,settled_at,token_symbol,predicted_rank,actual_rank,rank_difference,is_breakeven,prediction_score,absolute_score,relative_score,predicted_final_value,risk_adjusted_score,total_games,wins,top3,win_rate,top3_rate,avg_rank,avg_value,value_stddev,change_5m,change_1h,change_4h,change_24h,h2h_score,h2h_data_available,hybrid_predicted_rank,hybrid_rank_difference,hybrid_final_score,hybrid_elo_prob,hybrid_mom_score,hybrid_confidence
ojoCap_1752293958000,"2025-07-12 04:20:08",PNUT,5,2,3,1,56.69,51.8,49.67,51.54,56.69,18,4,9,22.2,50,3.06,0.0002,0.0012,,,,-0.01,49.666666666667,1,3,1,42.7,25.4,75,50
ojoCap_1752293898000,"2025-07-12 04:19:08",IO,1,2,1,1,84.27,79.5,62.86,77.1,84.27,22,7,17,31.8,77.3,2.64,-0.0003,0.0012,-0.4,-0.8,,-3.88,62.857142857143,1,1,1,84.9,77.3,100,56
ojoCap_1752293898000,"2025-07-12 04:19:08",SOL,2,1,1,1,72.65,68.2,60,67.02,72.65,15,0,10,0,66.7,3.13,0,0.0004,,,,-1.94,60,1,3,2,45.9,42.9,50,50
ojoCap_1752293898000,"2025-07-12 04:19:08",OM,3,5,2,0,56.42,51.6,49.57,51.31,56.42,16,2,8,12.5,50,3,0,0.0007,,0.37,,-1.21,49.571428571429,1,2,3,55.1,44.2,75,50
ojoCap_1752293898000,"2025-07-12 04:19:08",XRP,4,3,1,1,47.12,45.4,46.62,45.58,47.12,16,3,7,18.8,43.8,3.5,-0.0004,0.0008,,-0.06,,-21.73,46.619047619048,1,4,1,41.7,50.5,25,50
ojoCap_1752293898000,"2025-07-12 04:19:08",RENDER,5,4,1,0,43.36,42.9,20,39.6,43.36,17,0,7,0,41.2,3.47,-0.0001,0.0009,-0.01,-0.43,,-1.61,20,1,5,1,23.1,35.1,0,50
ojoCap_1752293838000,"2025-07-12 04:18:08",TRUMP,1,3,2,1,72.15,65.7,56.29,64.57,72.15,14,2,9,14.3,64.3,2.93,-0.0001,0.001,,,,2.04,56.285714285714,1,3,0,45.9,70.5,0,50
ojoCap_1752293838000,"2025-07-12 04:18:08",CHILLGUY,2,5,3,0,67.43,62.8,54.9,61.85,67.43,13,2,8,15.4,61.5,3.15,0.0001,0.0015,-0.04,-0.88,,-6.01,54.904761904762,1,1,4,68.5,51.4,100,51.9
ojoCap_1752293838000,"2025-07-12 04:18:08",BNB,3,2,1,1,66.90,62.8,54.9,61.85,66.9,13,2,8,15.4,61.5,3,0,0.0002,,-2.22,,-1.6,54.904761904762,1,2,0,59,49.9,75,50
ojoCap_1752293838000,"2025-07-12 04:18:08",PNUT,4,4,0,0,59.48,54.5,50.95,54.07,59.48,19,5,10,26.3,52.6,3,0.0003,0.0011,,,,-0.01,50.952380952381,1,4,0,43.4,40.2,50,50
ojoCap_1752293838000,"2025-07-12 04:18:08",TON,5,1,4,1,4.85,39.8,43.95,40.3,4.85,13,3,5,23.1,38.5,3.46,0.0018,0.0733,,,,,43.952380952381,1,5,4,33,38,25,50
ojoCap_1752293778000,"2025-07-12 04:17:08",IO,1,3,2,1,79.66,78.3,40,72.78,79.66,21,7,16,33.3,76.2,2.62,-0.0003,0.0012,-0.23,-0.54,,-3.31,40,1,1,2,79.6,68.8,100,54.2
ojoCap_1752293778000,"2025-07-12 04:17:08",BTC,2,2,0,1,78.00,72.8,59.67,70.91,78,14,3,10,21.4,71.4,2.71,0,0.0002,,,,,59.666666666667,1,4,2,41,50.1,25,50
ojoCap_1752293778000,"2025-07-12 04:17:08",UNI,3,5,2,0,67.99,61.5,60,61.28,67.99,15,4,9,26.7,60,2.87,0.0001,0.0011,,-0.17,,4.69,60,1,2,3,58.5,49.4,75,50
ojoCap_1752293778000,"2025-07-12 04:17:08",SUI,4,4,0,0,67.61,62.8,54.9,61.66,67.61,13,1,8,7.7,61.5,3.15,-0.0001,0.0005,,-0.19,,-1.02,54.904761904762,1,5,1,16.8,26.4,0,50
ojoCap_1752293778000,"2025-07-12 04:17:08",COOKIE,5,1,4,1,65.49,60.5,53.81,59.54,65.49,17,6,10,35.3,58.8,2.65,0.0006,0.0013,,,,,53.809523809524,1,3,2,53.6,55.3,50,50
